species,sumAbu,nHosts,nASVs,Uphylum,Uorder
Cylicocyclus insigne,239757,239,1,Nematoda,Strongylidae
Oswaldocruzia filiformis,117443,239,1,Nematoda,Molineidae
Strongylus equinus,42363,239,1,Nematoda,Strongylidae
Ancylostoma caninum,5811,239,1,Nematoda,Ancylostomatidae
Gregarina blattarum,3919,239,1,Apicomplexa,Gregarinidae
Gregarina tropica,2061,239,1,Apicomplexa,Gregarinidae
Neorhabditostomum yeni,1832,239,1,Nematoda,Chabertiidae
Strongylus edentatus,1629,239,1,Nematoda,Strongylidae
Oxyuris equi,1226,239,1,Nematoda,Oxyuridae
Dictyocaulus filaria,1171,239,1,Nematoda,Dictyocaulidae
Petrovinema poculatum,1146,239,1,Nematoda,Strongylidae
Dictyocaulus viviparus,1138,239,1,Nematoda,Dictyocaulidae
Nematoda sp. SB-2008,829,239,1,Nematoda,NA
Microtetrameres cloacitectus,610,239,1,Nematoda,Habronematidae
Uncinaria stenocephala,543,239,1,Nematoda,Ancylostomatidae
Mastophorus muris,451,239,1,Nematoda,Spirocercidae
Leidyana erratica,425,239,1,Apicomplexa,Leidyanidae
Rhigonema ingens,413,239,1,Nematoda,Rhigonematidae
Ascogregarina taiwanensis,411,239,1,Apicomplexa,Lecudinidae
Trichostrongylus colubriformis,371,239,1,Nematoda,Trichostrongylidae
Syncystis mirabilis,298,239,1,Apicomplexa,Syncystidae
Aphelenchoides sp. KH-2018,252,239,1,Nematoda,Aphelenchoididae
Pelecitus fulicaeatrae,224,239,1,Nematoda,Onchocercidae
Apicomplexa sp. 1 KCW-2013,219,239,1,Apicomplexa,NA
Monhystera paludicola,218,239,1,Nematoda,Monhysteridae
Hemicycliophora conida,206,239,1,Nematoda,Hemicycliophoridae
Apicystis bombi,204,239,1,Apicomplexa,Ophryocystidae
Aphelenchoides sp. 1 ZW-2018,199,239,1,Nematoda,Aphelenchoididae
Stenophora robusta,191,239,1,Apicomplexa,Stenophoridae
Rhigonema thysanophora,190,239,1,Nematoda,Rhigonematidae
Monocystis agilis,187,239,1,Apicomplexa,Monocystidae
Andrya cuniculi,185,239,1,Platyhelminthes,Anoplocephalidae
Dictyocaulus cervi,180,239,1,Nematoda,Dictyocaulidae
Nematodirus battus,172,239,1,Nematoda,Molineidae
Apicomplexa sp. 1 JM-2013,135,239,1,Apicomplexa,NA
Gregarina chortiocetes,126,239,1,Apicomplexa,Gregarinidae
Paraschneideria metamorphosa,126,239,1,Apicomplexa,Sphaerocystidae
Strongyloides venezuelensis,124,239,1,Nematoda,Strongyloididae
Apicomplexa sp. WKK-2018a,112,239,1,Apicomplexa,NA
Ichthyocephaloides sumbatus,102,239,1,Nematoda,Ichthyocephalidae
Gregarina cloptoni,78,239,1,Apicomplexa,Gregarinidae
Gregarina diabrotica,62,239,1,Apicomplexa,Gregarinidae
Oswaldocruzia chambrieri,59,239,1,Nematoda,Molineidae
Uncinaria sp. SAN-2011,59,239,1,Nematoda,Ancylostomatidae
Aranciocystis muskarensis,58,239,1,Apicomplexa,NA
Babesia caballi,58,239,1,Apicomplexa,Babesiidae
Trophotylenchulus arenarius,53,239,1,Nematoda,Tylenchulidae
Apicomplexan Acarus siro pathogen,52,239,1,Apicomplexa,NA
Cyrnea mansioni,52,239,1,Nematoda,Habronematidae
Dorylaimus stagnalis,51,239,1,Nematoda,Dorylaimidae
Anoplocephala perfoliata,50,239,1,Platyhelminthes,Anoplocephalidae
Orientatractis moraveci,48,239,1,Nematoda,Atractidae
Nippostrongylus brasiliensis,46,239,1,Nematoda,Heligmonellidae
Rondonia rondoni,45,239,1,Nematoda,Atractidae
Deletrocephalus dimidiatus,41,239,1,Nematoda,Deletrocephalidae
Amoebogregarina nigra,37,239,1,Apicomplexa,Gregarinidae
Uncinaria hamiltoni,37,239,1,Nematoda,Ancylostomatidae
Raphidascarididae gen. sp. PM-2014,32,239,1,Nematoda,Raphidascarididae
Dirofilaria repens,31,239,1,Nematoda,Onchocercidae
Uncinaria sanguinis,31,239,1,Nematoda,Ancylostomatidae
Stylocephalus gigas,30,239,1,Apicomplexa,Stylocephalidae
Prismatospora evansi,29,239,1,Apicomplexa,Actinocephalidae
Gregarina caledia,27,239,1,Apicomplexa,Gregarinidae
Gregarina coronata,27,239,1,Apicomplexa,Gregarinidae
Hovorkonema variegatum,20,239,1,Nematoda,Syngamidae
Trophotylenchulus sp. TSH-2009,20,239,1,Nematoda,Tylenchulidae
Ostertagia leptospicularis,18,239,1,Nematoda,Haemonchidae
Paratylenchus sp. ILVO-Par,18,239,1,Nematoda,Tylenchulidae
Selenidium orientale,17,239,1,Apicomplexa,Selenidiidae
Cylicospirura petrowi,16,239,1,Nematoda,Spirocercidae
Eimeria variabilis,14,239,1,Apicomplexa,Eimeriidae
Heligmonellidae sp. RSJ-2017,14,239,1,Nematoda,Heligmonellidae
Stylocephalus giganteus,14,239,1,Apicomplexa,Stylocephalidae
Strongyloides planiceps,13,239,1,Nematoda,Strongyloididae
Dorylaimoides sp. JH-2004,12,239,1,Nematoda,Mydonomidae
Nematopsis temporariae,11,239,1,Apicomplexa,NA
Pseudomonocystis lepidiota,11,239,1,Apicomplexa,NA
Rumenfilaria andersoni,9,239,1,Nematoda,Onchocercidae
Kalicephalus cristatus,8,239,1,Nematoda,Diaphanocephalidae
Strongyloides fuelleborni,7,239,1,Nematoda,Strongyloididae
Xiphocephalus ellisi,7,239,1,Apicomplexa,Stylocephalidae
Xiphocephalus triplogemmatus,7,239,1,Apicomplexa,Stylocephalidae
Ascogregarina culicis,6,239,1,Apicomplexa,Lecudinidae
Cyrnea leptoptera,6,239,1,Nematoda,Habronematidae
Bathylaimus sp. TJP-2010,5,239,1,Nematoda,Tripyloididae
Gregarina kingi,5,239,1,Apicomplexa,Gregarinidae
Nudora ilhabelae,5,239,1,Nematoda,Monoposthiidae
Physaloptera thalacomys,5,239,1,Nematoda,Physalopteridae
Rhigonema naylae,5,239,1,Nematoda,Rhigonematidae
Capillospirura sp. NCPS-1,4,239,1,Nematoda,Cystidicolidae
Cryptosporidium parvum,4,239,1,Apicomplexa,Cryptosporidiidae
Mattesia geminata,4,239,1,Apicomplexa,Lipotrophidae
Moniezia expansa,4,239,1,Platyhelminthes,Anoplocephalidae
Panagrolaimus sp. RS-2007a,4,239,1,Nematoda,Panagrolaimidae
Cryptosporidium canis,3,239,1,Apicomplexa,Cryptosporidiidae
Dictyocaulus capreolus,3,239,1,Nematoda,Dictyocaulidae
Psychodiella sp. JJV-2009b,3,239,1,Apicomplexa,Lecudinidae
Schistosoma bovis,3,239,1,Platyhelminthes,Schistosomatidae
Strongyloides cebus,3,239,1,Nematoda,Strongyloididae
Aporcelaimellus sp. JH-2004,1,239,1,Nematoda,Aporcelaimidae
Auanema rhodensis,1,239,1,Nematoda,Rhabditidae
Leidynema appendiculata,1,239,1,Nematoda,Thelastomatidae
